Song #,Song name,Likes,Knows,3/26
1,babydoll,okay,dont know,
2,choosin texas,likes,dont know,
3,Stateside,likes,dont know,
4,Attention,okay,dont know,
5,Swim,likes,dont know,
6,iloveitiloveitiloveit,likes,dont know,
7,Man i need ,okay,dont know,
8,E85,okay,dont know,
9,Risk it all,likes,Knows,
10,DtMF,okay,dont know,
11,Afraid,dont like,dont know,
12,War Pigs,dont like,dont know,
13,American Girls,Okay,dont know,
14,So Easy ,likes,know,
15,Sky walker,Okay,dont know,
16,12 to 12,Okay,dont know,
17,Everything i wanted,dont like,dont know,
18,white keys,likes,dont know,
19,body to body,dont like,dont know,
20,Mr. Brightside,okay,dont know,
