Song #,Song name,Likes,Knows,3/25
1,Babydoll,Okay,Dont know ,
2,choosin texas,okay,Knows,
3,stateside,okay,Knows,
4,Swim,Okay,Dont know ,
5,iloveitiloveitiloveit,Likes,Dont know ,
6,Man I need,Likes,Knows,
7,E85,okay,Dont know ,
8,risk it all,okay,Knows,
9,DtMF,Likes,Knows,
10,American Girls,Likes,Knows,
11,So Easy,Likes,Knows,
12,Body to body,Dont like,Dont know ,
13,White Keys,okay,Dont know ,
14,Mr. Brightside,likes,dont know ,
15,Body,Dont like,dont know ,
16,End of Beginning,okay,dont know ,
17,werent for the wind,okay,dont know ,
18,Golden,okay,Knows,
19,Fya,dont like,dont know ,
20,Hooligan,dont like,dont know ,
