Song #,Song name,Likes,Knows,4/8
1,Where is my husband,Likes,Knows,
2,Black Quarterback,Dont like,Dont know,
3,我们的歌谣,Okay,Dont know,wo men de ge yao
4,Feelin Lovely,Okay,Dont know,
5,When we were younger,Okay,Dont know,
6,Kiss me,Okay,Familar,
7,Attention,Likes,Dont know,
8,嗵嗵,Okay,Dont know,tong tong
9,东北民谣,Likes ,Knows,dong bei min yao 
10,How much is weed?,likes,Dont know,
11,Kiss of Venus,likes,Dont know,
12,梅花三弄,okay,Dont know,mei hua san nong
13,Bang!,like,Dont know,
14,Fly high!!!,okay,Dont know,
15,Roommates,like,Dont know,
16,酒歌,Dont like,Dont know,jiu ge 
17,南屏晚钟,Okay,Dont know,nan ping wan zhong
18,the show,Like,Knows,
19,Good Time,Like,Knows,
20,STYX HELIX,okay,Dont know,
