Song #,Song name,Likes,Knows
1,American Girls,None,dont know
2,Stateside + Zara larsson,None,Know
3,Choosin Texas,None,dont know
4,Babydoll,None,Know
5,Risk it all,None,dont know
6,Taste Back,None,dont know
7,Coming up roses,None,dont know
8,Ready Set go,None,dont know
9,DtMF,None,Know
10,Man I need,None,Know
11,E85,None,know
12,aperture,None,dont Know
13,brain fog,None,Know
14,So easy,None,Know
15,Pop,None,dont Know
16,Iloveitiloveitiloveit,None,dont Know
17,Are you listening Yet,None,dont Know
18,The waiting  game ,None,dont Know
19,I just might,None,dont Know
