Song #,Song name,Likes,Knows
1,dont use this one,,
2,踊 子,okay,don't know
3,make you mine,like ,don't know
4,homesick,okay,don't know
5,军港之夜,okay,don't know
6,I'm yours,like ,don't know
7,sign of the times,don't like ,don't know
8,nobody,like ,know
9,the other side,like ,don't know
10,homecoming,don't like ,don't know
11,FLY HIGH!!!,like ,know
12,fireflies,like ,know
13,若梦,like ,know
14,kiss me right,like ,don't know
15,attention,like ,don't know
16,when we are younger,like ,don't know
17,shape of you ,like ,know
18,how much is weed,okay ,don't know
19,酒歌,okay ,don't know
20,kiss me ,like ,don't know
21,if you want to,okay,don't know
22,babydoll,okay,dont know
23,choosin texas,likes,dont know
24,Stateside,likes,dont know
25,Attention,okay,dont know
26,Swim,likes,dont know
27,iloveitiloveitiloveit,likes,dont know
28,Man i need ,okay,dont know
29,E85,okay,dont know
30,Risk it all,likes,Knows
31,DtMF,okay,dont know
32,Afraid,dont like,dont know
33,War Pigs,dont like,dont know
34,American Girls,Okay,dont know
35,So Easy ,likes,know
36,Sky walker,Okay,dont know
37,12 to 12,Okay,dont know
38,Everything i wanted,dont like,dont know
39,white keys,likes,dont know
40,body to body,dont like,dont know
41,Mr. Brightside,okay,dont know
