Song #,Song name,Likes,Knows,3/26
22,babydoll,okay,dont know,
23,choosin texas,likes,dont know,
24,Stateside,likes,dont know,
25,Attention,okay,dont know,
26,Swim,likes,dont know,
27,iloveitiloveitiloveit,likes,dont know,
28,Man i need ,okay,dont know,
29,E85,okay,dont know,
30,Risk it all,likes,Knows,
31,DtMF,okay,dont know,
32,Afraid,dont like,dont know,
33,War Pigs,dont like,dont know,
34,American Girls,Okay,dont know,
35,So Easy ,likes,know,
36,Sky walker,Okay,dont know,
37,12 to 12,Okay,dont know,
38,Everything i wanted,dont like,dont know,
39,white keys,likes,dont know,
40,body to body,dont like,dont know,
41,Mr. Brightside,okay,dont know,
