Song #,Song name,Likes,Knows,3/25
21,Babydoll,Okay,Dont know ,
22,choosin texas,okay,Know,
23,stateside,okay,Know,
24,Swim,Okay,Dont know ,
25,iloveitiloveitiloveit,Likes,Dont know ,
26,Man I need,Likes,Know,
27,E85,okay,Dont know ,
28,risk it all,okay,Know,
29,DtMF,Likes,Know,
30,American Girls,Likes,Know,
31,So Easy,Likes,Know,
32,Body to body,Dont like,Dont know ,
33,White Keys,okay,Dont know ,
34,Mr. Brightside,likes,dont know ,
35,Body,Dont like,dont know ,
36,End of Beginning,okay,dont know ,
37,werent for the wind,okay,dont know ,
38,Golden,okay,Know,
39,Fya,dont like,dont know ,
40,Hooligan,dont like,dont know ,
